--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
353.632  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.670  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.704  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.737  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.770  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.809  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.846  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.879  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.912  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.947  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
353.994  000.009  000.009: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
354.071  000.009  000.009: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
360.590  000.029  000.029: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
360.703  000.059  000.059: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
360.748  000.033  000.033: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
360.768  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
360.782  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
361.029  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
361.084  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
364.740  003.643  003.643: require('nvim-file-operations')
365.087  000.334  000.334: require('nvim-file-operations.config')
366.207  000.319  000.319: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/editorconfig.lua
366.240  000.826  000.508: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
367.067  000.327  000.327: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/man.lua
367.101  000.846  000.519: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
367.992  000.391  000.391: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/net.lua
368.025  000.907  000.516: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
368.929  000.406  000.406: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/osc52.lua
368.963  000.924  000.518: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
370.265  000.820  000.820: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/rplugin.vim
370.290  001.310  000.490: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
371.130  000.372  000.372: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/shada.lua
371.163  000.853  000.481: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
372.121  000.456  000.456: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/spellfile.lua
372.156  000.976  000.520: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
372.712  302.045  152.377: require('config.lazy')
372.726  310.663  000.316: sourcing C:\Users\Kristan\AppData\Local\nvim\init.lua
372.803  004.611: sourcing vimrc file(s)
374.648  000.285  000.285: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share\nvim\runtime\filetype.lua
377.308  000.200  000.200: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share\nvim\runtime\syntax\synload.vim
377.549  001.701  001.501: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/syntax/syntax.vim
377.602  002.813: inits 3
381.374  003.772: reading ShaDa
381.598  000.224: opening buffers
382.357  000.653  000.653: require('bufferline.state')
382.839  000.588: BufEnter autocommands
382.850  000.011: editing files in windows
382.860  000.010: --- NVIM STARTED ---

--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- NVIM STARTING ---
000.064  000.058: event init
000.224  000.160: early init
026.681  026.457: locale set
026.731  000.051: init first window
027.884  001.152: inits 1
027.908  000.024: window checked
027.915  000.008: parsing arguments
029.195  000.663  000.663: require('vim._core.shared')
030.279  000.008  000.008: require('string.buffer')
030.335  000.345  000.338: require('vim.inspect')
030.675  000.321  000.321: require('vim._core.options')
030.682  001.476  000.809: require('vim._core.editor')
030.891  000.204  000.204: require('vim._core.system')
030.896  002.497  000.154: require('vim._init_packages')
030.907  000.495: init lua interpreter
031.036  000.130: expanding arguments
031.059  000.023: inits 2
031.482  000.422: init highlight
031.499  000.018: clear screen
032.364  000.055  000.055: require('vim.keymap')
033.438  000.231  000.231: sourcing nvim_exec2()
033.501  000.034  000.034: require('vim._core.log')
053.128  021.623  021.303: require('vim._core.defaults')
053.140  000.018: init default mappings & autocommands
055.735  000.143  000.143: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share\nvim\runtime\ftplugin.vim
056.426  000.089  000.089: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share\nvim\runtime\indent.vim
058.183  000.566  000.566: require('vim.fs')
058.801  000.607  000.607: require('vim.uri')
058.846  001.615  000.442: require('vim.loader')
060.089  000.377  000.377: require('config.font')
061.136  002.200  001.823: require('config.options')
063.010  000.047  000.047: require('vim.F')
063.099  001.307  001.260: require('vim.diagnostic')
063.849  000.045  000.045: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
064.288  003.139  001.788: require('config.keybinds')
069.653  004.457  004.457: require('lazy')
069.712  000.032  000.032: require('ffi')
070.027  000.305  000.305: require('lazy.stats')
070.719  000.469  000.469: require('lazy.core.util')
071.363  000.634  000.634: require('lazy.core.config')
072.233  000.388  000.388: require('lazy.core.handler')
073.123  000.286  000.286: require('lazy.pkg')
073.137  000.579  000.293: require('lazy.core.meta')
073.147  000.900  000.321: require('lazy.core.plugin')
073.157  001.783  000.495: require('lazy.core.loader')
075.355  000.367  000.367: require('lazy.async')
076.016  000.290  000.290: require('lazy.manage.process')
076.293  000.267  000.267: require('lazy.terminal')
076.307  000.942  000.386: require('lazy.manage.task')
076.313  001.724  000.415: require('lazy.manage.runner')
076.320  002.139  000.415: require('lazy.manage')
076.326  002.560  000.421: require('lazy.view.commands')
076.624  000.263  000.263: require('lazy.core.fragments')
087.979  000.274  000.274: require('lazy.core.handler.event')
087.992  000.585  000.311: require('lazy.core.handler.ft')
088.247  000.248  000.248: require('lazy.core.handler.cmd')
088.519  000.260  000.260: require('lazy.core.handler.keys')
089.972  000.017  000.017: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
090.088  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
093.157  001.901  001.901: sourcing nvim_exec2() called at C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/filetype.lua:0
